id,name,alias,tech,capacity,bus_a_id,bus_b_id,investment,active,r,x,tmin,tmax,voltage,segments,latitude,longitude,length,n,contingency
1,CNQ->GG,CNQ->GG,DC,1050,1,2,0,1,0.01,0.1,1050,1100,220,1,"","",1,1,0
2,SQ->CNQ,SQ->CNQ,DC,1000,3,1,0,1,0.01,0.1,1000,2100,220,1,"","",1,1,0
3,NNSW->SQ,QNI,DC,745,4,3,0,1,0.01,0.1,745,1170,220,1,"","",1,1,0
4,NNSW->SQ,Terranora,DC,50,4,3,0,1,0.01,0.1,50,200,220,1,"","",1,1,0
5,CNSW->NNSW,CNSW->NNSW,DC,910,5,4,0,1,0.01,0.1,910,1025,220,1,"","",1,1,0
6,CNSW->SNW,CNSW->SNW,DC,7625,5,6,0,1,0.01,0.1,7625,6125,220,1,"","",1,1,0
7,SNSW->CNSW,SNSW->CNSW,DC,2950,7,5,0,1,0.01,0.1,2950,2590,220,1,"","",1,1,0
8,VIC->SNSW,VNI,DC,1000,8,7,0,1,0.01,0.1,1000,400,220,1,"","",1,1,0
9,VIC->SA,Heywood,DC,650,8,10,0,1,0.01,0.1,650,650,220,1,"","",1,1,0
10,VIC->SA,Murraylink,DC,220,8,10,0,1,0.01,0.1,220,200,220,1,"","",1,1,0
11,TAS->VIC,Basslink,DC,478,9,8,0,1,0.01,0.1,478,478,220,1,"","",1,1,0
12,SNSW->SA,Project EnergyConnect,DC,800,7,10,0,1,0.01,0.1,800,800,220,1,"","",1,0,0
13,CNQ-GG Option 1,NL_12_INV1,DC,550,1,2,1,1,0.01,0.1,500,550,220,1,"","",1,1,0
14,SQ-CNQ Option 1,NL_31_INV2,DC,900,3,1,1,1,0.01,0.1,900,900,220,1,"","",1,1,0
15,SQ-CNQ Option 2,NL_31_INV3,DC,300,3,1,1,1,0.01,0.1,300,0,220,1,"","",1,1,0
16,SQ-CNQ Option 3,NL_31_INV4,DC,300,3,1,0,0,0.01,0.1,300,300,220,1,"","",1,1,0
17,CNQ-SQ Option 4,NL_31_INV5,DC,1500,3,1,1,1,0.01,0.1,1500,1500,220,1,"","",1,1,0
18,NNSW–SQ Option 1,NL_43_INV6,DC,1080,4,3,1,1,0.01,0.1,1080,910,220,1,"","",1,1,0
19,NNSW–SQ Option 2,NL_43_INV7,DC,800,4,3,1,1,0.01,0.1,800,550,220,1,"","",1,1,0
20,NNSW–SQ Option 3,NL_43_INV8,DC,300,4,3,0,0,0.01,0.1,300,300,220,1,"","",1,1,0
21,NNSW–SQ Option 4,NL_43_INV9,DC,2000,4,3,1,1,0.01,0.1,2000,1800,220,1,"","",1,1,0
22,CNSW-NNSW Option 1,NL_54_INV10,DC,2035,5,4,1,1,0.01,0.1,1660,2035,220,1,"","",1,1,0
23,CNSW-NNSW Option 2,NL_54_INV11,DC,710,5,4,1,1,0.01,0.1,535,710,220,1,"","",1,1,0
24,CNSW-NNSW Option 3,NL_54_INV12,DC,585,5,4,1,1,0.01,0.1,470,585,220,1,"","",1,1,0
25,CNSW-NNSW Option 4,NL_54_INV13,DC,710,5,4,1,1,0.01,0.1,535,710,220,1,"","",1,1,0
26,CNSW-NNSW Option 5,NL_54_INV14,DC,585,5,4,1,1,0.01,0.1,470,585,220,1,"","",1,1,0
27,CNSW-NNSW Option 6,NL_54_INV15,DC,2190,5,4,1,1,0.01,0.1,1800,2190,220,1,"","",1,1,0
28,CNSW-NNSW Option 6A,NL_54_INV16,DC,1270,5,4,1,1,0.01,0.1,1270,880,220,1,"","",1,1,0
29,CNSW-NNSW Option 6B,NL_54_INV17,DC,2750,5,4,1,1,0.01,0.1,2750,2750,220,1,"","",1,1,0
30,CNSW-NNSW Option 7,NL_54_INV18,DC,1590,5,4,1,1,0.01,0.1,1590,1470,220,1,"","",1,1,0
31,CNSW-NNSW Option 8,NL_54_INV19,DC,300,5,4,0,0,0.01,0.1,300,300,220,1,"","",1,1,0
32,CNSW-NNSW Option 9,NL_54_INV20,DC,2000,5,4,1,1,0.01,0.1,2000,1750,220,1,"","",1,1,0
33,CNSW-NNSW Option 10,NL_54_INV21,DC,2000,5,4,1,1,0.01,0.1,2000,1750,220,1,"","",1,1,0
34,CNSW-SNW Option 1,NL_56_INV22,DC,5000,5,6,1,1,0.01,0.1,0,5000,220,1,"","",1,1,0
35,CNSW-SNW Option 2,NL_56_INV23,DC,4500,5,6,1,1,0.01,0.1,0,4500,220,1,"","",1,1,0
36,CNSW-SNW Option 3a,NL_56_INV24,DC,600,5,6,1,1,0.01,0.1,0,600,220,1,"","",1,1,0
37,CNSW-SNW Option 3b,NL_56_INV25,DC,1100,5,6,1,1,0.01,0.1,0,1100,220,1,"","",1,1,0
38,H-Newcastle,NL_56_INV26,DC,5000,5,6,1,1,0.01,0.1,5000,5000,220,1,"","",1,1,0
39,H-Dapto,NL_56_INV27,DC,5000,5,6,1,1,0.01,0.1,5000,5000,220,1,"","",1,1,0
40,SNSW-CNSW Option 1,NL_75_INV28,DC,2200,7,5,1,1,0.01,0.1,2200,2200,220,1,"","",1,1,0
41,SNSW-CNSW Option 2,NL_75_INV29,DC,2000,7,5,1,1,0.01,0.1,2000,2000,220,1,"","",1,1,0
42,SNSW-CNSW Option 3,NL_75_INV30,DC,2000,7,5,1,1,0.01,0.1,2000,2000,220,1,"","",1,1,0
43,VIC-SNSW Option 1 - VNI West,NL_87_INV31,DC,1930,8,7,1,1,0.01,0.1,1800,1930,220,1,"","",1,1,0
44,VIC-SNSW Option 2 - VNI West,NL_87_INV32,DC,1930,8,7,1,1,0.01,0.1,1800,1930,220,1,"","",1,1,0
45,VIC-SNSW Option 6A,NL_87_INV33,DC,1930,8,7,1,1,0.01,0.1,1800,1930,220,1,"","",1,1,0
46,VIC-SNSW Option 6,NL_87_INV34,DC,2000,8,7,1,1,0.01,0.1,1500,2000,220,1,"","",1,1,0
47,VIC-SNSW Option 7,NL_87_INV35,DC,2000,8,7,1,1,0.01,0.1,2000,2000,220,1,"","",1,1,0
48,TAS-VIC Option 1,NL_98_INV36,DC,750,9,8,1,1,0.01,0.1,750,750,220,1,"","",1,1,0
49,TAS-VIC Option 2,NL_98_INV37,DC,750,9,8,1,1,0.01,0.1,750,750,220,1,"","",1,1,0
